status,severity,category,event_type,field,summary,observed,expected,evidence,examples,spec_source
WARNING,Low,sequence,argumentationToolEvent,actionType,backing-info panel: repeated open with no intervening close,8 occurrence(s),,,wenyi090326-2.stratalog.logdata.json[5505] _id=6a9b06a7485cab4c953f91da ts=2026-09-04T17:57:59.9180000Z | wenyi090326-2.stratalog.logdata.json[3615] _id=6a9b0df9485cab4c953fa2a4 ts=2026-09-04T18:29:13.3140000Z | wenyi090326-2.stratalog.logdata.json[3613] _id=6a9b0dfa485cab4c953fa2a8 ts=2026-09-04T18:29:14.8480000Z,08-13-26/Investigation-results/argumentation-tool-event-investigation.md
WARNING,Low,values,ObjectInterEvent,data.actionType,values that differ only in spelling/case,"""Press E To Pick Up"" (1x), ""Press E to Pick Up"" (5x), ""Press E to Pick up"" (36x)",one canonical value (or documented aliases),,,
WARNING,Low,values,ObjectInterEvent,data.actionType,values that differ only in spelling/case,"""Press E to Place"" (9x), ""Press E to place"" (1x)",one canonical value (or documented aliases),,,
WARNING,Low,values,ObjectInterEvent,data.actionType,values that differ only in spelling/case,"""Press E To Scan"" (3x), ""Press E to Scan"" (11x)",one canonical value (or documented aliases),,,
INFO,Info,coverage,crash,,no expectation rules configured — descriptive profiling only,3 records,add the event to event_expectations.yaml to enable expectation checks,,,
PASS,Info,cross-event,,,Soil Key Puzzle finished implies soil drag interactions happened: consistent,"4 trigger(s), 28 matching record(s) in wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc",,,,soil-key-puzzle-investigation.md
PASS,Info,cross-event,,,argumentation answer submitted implies an argumentation session was opened: consistent,"6 trigger(s), 6 matching record(s) in wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc",,,,argumentation-event-investigation.md
PASS,Info,cross-event,,,solar still design submission implies option selections: consistent,"1 trigger(s), 3 matching record(s) in wenyi090326-2.stratalog.logdata.json:6a9a063fe2ada9cb13ea75bc",,,,observed data 08-25-26 (no written spec yet)
INFO,Info,duplicates,ObjectInterEvent,,"near-duplicate records within 1s (identical data, different timestamp)",5 pair(s),review whether the interaction really fired twice,,1ms: wenyi090326-2.stratalog.logdata.json[5766] _id=6a9b0487485cab4c953f86d8 ts=2026-09-04T17:48:55.7920000Z ~ wenyi090326-2.stratalog.logdata.json[5765] _id=6a9b0487485cab4c953f86da ts=2026-09-04T17:48:55.7930000Z | 700ms: wenyi090326-2.stratalog.logdata.json[1664] _id=6a9b17fa485cab4c953fb26e ts=2026-09-04T19:11:55.1540000Z ~ wenyi090326-2.stratalog.logdata.json[1661] _id=6a9b17fb485cab4c953fb274 ts=2026-09-04T19:11:55.8540000Z | 834ms: wenyi090326-2.stratalog.logdata.json[326] _id=6a9b2311485cab4c953fc286 ts=2026-09-04T19:59:13.2740000Z ~ wenyi090326-2.stratalog.logdata.json[324] _id=6a9b2311485cab4c953fc28a ts=2026-09-04T19:59:14.1080000Z,
INFO,Info,duplicates,PuzzlePieceVisibleEvent,,"near-duplicate records within 1s (identical data, different timestamp)",15 pair(s),review whether the interaction really fired twice,,2ms: wenyi090326-2.stratalog.logdata.json[5320] _id=6a9b0801485cab4c953f9388 ts=2026-09-04T18:03:06.4480000Z ~ wenyi090326-2.stratalog.logdata.json[5317] _id=6a9b0801485cab4c953f938a ts=2026-09-04T18:03:06.4500000Z | 67ms: wenyi090326-2.stratalog.logdata.json[5313] _id=6a9b0801485cab4c953f9398 ts=2026-09-04T18:03:06.7140000Z ~ wenyi090326-2.stratalog.logdata.json[5312] _id=6a9b0801485cab4c953f939a ts=2026-09-04T18:03:06.7810000Z | 67ms: wenyi090326-2.stratalog.logdata.json[5310] _id=6a9b0802485cab4c953f93a0 ts=2026-09-04T18:03:06.9140000Z ~ wenyi090326-2.stratalog.logdata.json[5309] _id=6a9b0802485cab4c953f93a2 ts=2026-09-04T18:03:06.9810000Z,
INFO,Info,duplicates,argumentationEvent,,"near-duplicate records within 1s (identical data, different timestamp)",2 pair(s),review whether the interaction really fired twice,,31ms: wenyi090326-2.stratalog.logdata.json[3125] _id=6a9b1132485cab4c953fa6f8 ts=2026-09-04T18:42:58.9450000Z ~ wenyi090326-2.stratalog.logdata.json[3121] _id=6a9b1132485cab4c953fa6fe ts=2026-09-04T18:42:58.9760000Z | 32ms: wenyi090326-2.stratalog.logdata.json[1223] _id=6a9b1a29485cab4c953fb5e0 ts=2026-09-04T19:21:13.3070000Z ~ wenyi090326-2.stratalog.logdata.json[1219] _id=6a9b1a29485cab4c953fb5e6 ts=2026-09-04T19:21:13.3390000Z,
INFO,Info,duplicates,argumentationNodeEvent,,"near-duplicate records within 1s (identical data, different timestamp)",8 pair(s),review whether the interaction really fired twice,,31ms: wenyi090326-2.stratalog.logdata.json[5543] _id=6a9b0688485cab4c953f9128 ts=2026-09-04T17:57:28.3050000Z ~ wenyi090326-2.stratalog.logdata.json[5542] _id=6a9b0688485cab4c953f912a ts=2026-09-04T17:57:28.3360000Z | 801ms: wenyi090326-2.stratalog.logdata.json[5547] _id=6a9b0687485cab4c953f9120 ts=2026-09-04T17:57:27.6360000Z ~ wenyi090326-2.stratalog.logdata.json[5541] _id=6a9b0688485cab4c953f912c ts=2026-09-04T17:57:28.4370000Z | 233ms: wenyi090326-2.stratalog.logdata.json[3999] _id=6a9b0bb7485cab4c953f9dc8 ts=2026-09-04T18:19:35.7210000Z ~ wenyi090326-2.stratalog.logdata.json[3997] _id=6a9b0bb7485cab4c953f9dcc ts=2026-09-04T18:19:35.9540000Z,
INFO,Info,duplicates,argumentationToolEvent,,"near-duplicate records within 1s (identical data, different timestamp)",5 pair(s),review whether the interaction really fired twice,,700ms: wenyi090326-2.stratalog.logdata.json[3616] _id=6a9b0df8485cab4c953fa2a2 ts=2026-09-04T18:29:12.6140000Z ~ wenyi090326-2.stratalog.logdata.json[3615] _id=6a9b0df9485cab4c953fa2a4 ts=2026-09-04T18:29:13.3140000Z | 667ms: wenyi090326-2.stratalog.logdata.json[3614] _id=6a9b0df9485cab4c953fa2a6 ts=2026-09-04T18:29:14.1810000Z ~ wenyi090326-2.stratalog.logdata.json[3613] _id=6a9b0dfa485cab4c953fa2a8 ts=2026-09-04T18:29:14.8480000Z | 534ms: wenyi090326-2.stratalog.logdata.json[3161] _id=6a9b10d1485cab4c953fa6b0 ts=2026-09-04T18:41:22.1280000Z ~ wenyi090326-2.stratalog.logdata.json[3160] _id=6a9b10d2485cab4c953fa6b2 ts=2026-09-04T18:41:22.6620000Z,
INFO,Info,duplicates,chatEvent,,"near-duplicate records within 1s (identical data, different timestamp)",14 pair(s),review whether the interaction really fired twice,,533ms: wenyi090326-2.stratalog.logdata.json[4031] _id=6a9b0bae485cab4c953f9d88 ts=2026-09-04T18:19:26.4500000Z ~ wenyi090326-2.stratalog.logdata.json[4029] _id=6a9b0bae485cab4c953f9d8c ts=2026-09-04T18:19:26.9830000Z | 534ms: wenyi090326-2.stratalog.logdata.json[4029] _id=6a9b0bae485cab4c953f9d8c ts=2026-09-04T18:19:26.9830000Z ~ wenyi090326-2.stratalog.logdata.json[4027] _id=6a9b0baf485cab4c953f9d90 ts=2026-09-04T18:19:27.5170000Z | 534ms: wenyi090326-2.stratalog.logdata.json[4027] _id=6a9b0baf485cab4c953f9d90 ts=2026-09-04T18:19:27.5170000Z ~ wenyi090326-2.stratalog.logdata.json[4025] _id=6a9b0baf485cab4c953f9d94 ts=2026-09-04T18:19:28.0510000Z,
INFO,Info,duplicates,gameWindowUnfocusEvent,,"near-duplicate records within 1s (identical data, different timestamp)",1 pair(s),review whether the interaction really fired twice,,0ms: wenyi090326-2.stratalog.logdata.json[3023] _id=6a9b11f3485cab4c953fa7c6 ts=2026-09-04T18:46:11.6570000Z ~ wenyi090326-2.stratalog.logdata.json[3022] _id=6a9b120b485cab4c953fa7c8 ts=2026-09-04T18:46:11.657Z,
INFO,Info,duplicates,questEvent,,"near-duplicate records within 1s (identical data, different timestamp)",1 pair(s),review whether the interaction really fired twice,,1ms: wenyi090326-2.stratalog.logdata.json[84] _id=6a9b2406485cab4c953fc474 ts=2026-09-04T20:03:18.6310000Z ~ wenyi090326-2.stratalog.logdata.json[82] _id=6a9b2406485cab4c953fc476 ts=2026-09-04T20:03:18.6320000Z,
INFO,Info,frequency,DEBUGMenu,,unusually long gaps between records,"2 gap(s), longest 25m 57s",,25m 57s: wenyi090326-2.stratalog.logdata.json[2112] _id=6a9b16c4485cab4c953faeee ts=2026-09-04T19:06:44.5970000Z -> wenyi090326-2.stratalog.logdata.json[541] _id=6a9b1cd9485cab4c953fbb36 ts=2026-09-04T19:32:41.8050000Z; 19m 47s: wenyi090326-2.stratalog.logdata.json[3010] _id=6a9b121d485cab4c953fa7e2 ts=2026-09-04T18:46:53.1780000Z -> wenyi090326-2.stratalog.logdata.json[2113] _id=6a9b16c0485cab4c953faeec ts=2026-09-04T19:06:40.6060000Z,,
INFO,Info,frequency,DaniEvent,,unusually long gaps between records,"3 gap(s), longest 34m 3s",,34m 3s: wenyi090326-2.stratalog.logdata.json[3994] _id=6a9b0bba485cab4c953f9dd2 ts=2026-09-04T18:19:38.4220000Z -> wenyi090326-2.stratalog.logdata.json[2543] _id=6a9b13b5485cab4c953fab88 ts=2026-09-04T18:53:41.7330000Z; 33m 56s: wenyi090326-2.stratalog.logdata.json[2390] _id=6a9b15b5485cab4c953facbe ts=2026-09-04T19:02:13.6260000Z -> wenyi090326-2.stratalog.logdata.json[384] _id=6a9b1daa485cab4c953fbc70 ts=2026-09-04T19:36:10.6040000Z; 22m 28s: wenyi090326-2.stratalog.logdata.json[384] _id=6a9b1daa485cab4c953fbc70 ts=2026-09-04T19:36:10.6040000Z -> wenyi090326-2.stratalog.logdata.json[372] _id=6a9b22ee485cab4c953fc1f2 ts=2026-09-04T19:58:38.7620000Z,,
INFO,Info,frequency,DaniEvent,,very rapid consecutive records (possible duplicates or multi-fire),2 interval(s) ≤ 0.001s..0.001s shown,,1ms: wenyi090326-2.stratalog.logdata.json[2392] _id=6a9b15b2485cab4c953facba ts=2026-09-04T19:02:10.6770000Z -> wenyi090326-2.stratalog.logdata.json[2391] _id=6a9b15b2485cab4c953facbc ts=2026-09-04T19:02:10.6780000Z; 1ms: wenyi090326-2.stratalog.logdata.json[2394] _id=6a9b15a6485cab4c953facb6 ts=2026-09-04T19:01:58.5860000Z -> wenyi090326-2.stratalog.logdata.json[2393] _id=6a9b15a6485cab4c953facb8 ts=2026-09-04T19:01:58.5870000Z,,
INFO,Info,frequency,DialogueEvent,,unusually long gaps between records,"1 gap(s), longest 22m 49s",,22m 49s: wenyi090326-2.stratalog.logdata.json[387] _id=6a9b1d9f485cab4c953fbc6a ts=2026-09-04T19:35:59.5000000Z -> wenyi090326-2.stratalog.logdata.json[356] _id=6a9b22f9485cab4c953fc232 ts=2026-09-04T19:58:49.4720000Z,,
INFO,Info,frequency,DialogueEvent,,very rapid consecutive records (possible duplicates or multi-fire),477 interval(s) ≤ 0.000s..0.000s shown,,0ms: wenyi090326-2.stratalog.logdata.json[103] _id=6a9b23df485cab4c953fc44c ts=2026-09-04T20:02:39.9500000Z -> wenyi090326-2.stratalog.logdata.json[104] _id=6a9b23df485cab4c953fc44e ts=2026-09-04T20:02:39.9500000Z; 0ms: wenyi090326-2.stratalog.logdata.json[112] _id=6a9b23d9485cab4c953fc43a ts=2026-09-04T20:02:33.8480000Z -> wenyi090326-2.stratalog.logdata.json[113] _id=6a9b23d9485cab4c953fc43c ts=2026-09-04T20:02:33.8480000Z; 0ms: wenyi090326-2.stratalog.logdata.json[1171] _id=6a9b1a75485cab4c953fb646 ts=2026-09-04T19:22:29.5580000Z -> wenyi090326-2.stratalog.logdata.json[1172] _id=6a9b1a75485cab4c953fb648 ts=2026-09-04T19:22:29.5580000Z,,
INFO,Info,frequency,EndOfUnit,,unusually long gaps between records,"4 gap(s), longest 37m 1s",,37m 1s: wenyi090326-2.stratalog.logdata.json[911] _id=6a9b1b89485cab4c953fb850 ts=2026-09-04T19:27:06.0560000Z -> wenyi090326-2.stratalog.logdata.json[2] _id=6a9b2437485cab4c953fc518 ts=2026-09-04T20:04:07.2210000Z; 31m 39s: wenyi090326-2.stratalog.logdata.json[2443] _id=6a9b141e485cab4c953fac50 ts=2026-09-04T18:55:26.2480000Z -> wenyi090326-2.stratalog.logdata.json[911] _id=6a9b1b89485cab4c953fb850 ts=2026-09-04T19:27:06.0560000Z; 30m 28s: wenyi090326-2.stratalog.logdata.json[5420] _id=6a9b072e485cab4c953f928a ts=2026-09-04T18:00:14.1830000Z -> wenyi090326-2.stratalog.logdata.json[3526] _id=6a9b0e52485cab4c953fa3c4 ts=2026-09-04T18:30:43.1570000Z,,
INFO,Info,frequency,InputEvent,,unusually long gaps between records,"1 gap(s), longest 22m 28s",,22m 28s: wenyi090326-2.stratalog.logdata.json[383] _id=6a9b1daa485cab4c953fbc72 ts=2026-09-04T19:36:10.6050000Z -> wenyi090326-2.stratalog.logdata.json[370] _id=6a9b22ef485cab4c953fc1f6 ts=2026-09-04T19:58:39.2310000Z,,
INFO,Info,frequency,InputEvent,,very rapid consecutive records (possible duplicates or multi-fire),47 interval(s) ≤ 0.001s..0.001s shown,,1ms: wenyi090326-2.stratalog.logdata.json[1953] _id=6a9b1730485cab4c953fb02c ts=2026-09-04T19:08:32.9250000Z -> wenyi090326-2.stratalog.logdata.json[1952] _id=6a9b1730485cab4c953fb02e ts=2026-09-04T19:08:32.9260000Z; 1ms: wenyi090326-2.stratalog.logdata.json[2066] _id=6a9b16e1485cab4c953faf4a ts=2026-09-04T19:07:13.3520000Z -> wenyi090326-2.stratalog.logdata.json[2065] _id=6a9b16e1485cab4c953faf4c ts=2026-09-04T19:07:13.3530000Z; 1ms: wenyi090326-2.stratalog.logdata.json[2074] _id=6a9b16dd485cab4c953faf3a ts=2026-09-04T19:07:10.1190000Z -> wenyi090326-2.stratalog.logdata.json[2073] _id=6a9b16dd485cab4c953faf3c ts=2026-09-04T19:07:10.1200000Z,,
INFO,Info,frequency,ObjectInterEvent,,unusually long gaps between records,"1 gap(s), longest 22m 41s",,22m 41s: wenyi090326-2.stratalog.logdata.json[388] _id=6a9b1d9d485cab4c953fbc68 ts=2026-09-04T19:35:58.0690000Z -> wenyi090326-2.stratalog.logdata.json[371] _id=6a9b22ef485cab4c953fc1f4 ts=2026-09-04T19:58:39.2300000Z,,
INFO,Info,frequency,ObjectInterEvent,,very rapid consecutive records (possible duplicates or multi-fire),3 interval(s) ≤ 0.000s..0.001s shown,,0ms: wenyi090326-2.stratalog.logdata.json[1319] _id=6a9b1959485cab4c953fb520 ts=2026-09-04T19:17:45.7410000Z -> wenyi090326-2.stratalog.logdata.json[1318] _id=6a9b1959485cab4c953fb522 ts=2026-09-04T19:17:45.7410000Z; 0ms: wenyi090326-2.stratalog.logdata.json[1353] _id=6a9b1934485cab4c953fb4dc ts=2026-09-04T19:17:08.2900000Z -> wenyi090326-2.stratalog.logdata.json[1352] _id=6a9b1934485cab4c953fb4de ts=2026-09-04T19:17:08.2900000Z; 1ms: wenyi090326-2.stratalog.logdata.json[5766] _id=6a9b0487485cab4c953f86d8 ts=2026-09-04T17:48:55.7920000Z -> wenyi090326-2.stratalog.logdata.json[5765] _id=6a9b0487485cab4c953f86da ts=2026-09-04T17:48:55.7930000Z,,
PASS,Info,frequency,PlayerPositionEvent,,continuous cadence matches expectation (~10s),"median interval 10.005s (p5 9.97s, p95 10.16s, n=624)",~10s (±0.6s),,,08-13-26/Investigation-results/position-event-investigation.md
INFO,Info,frequency,PlayerPositionEvent,,unusually long gaps between records,"1 gap(s), longest 22m 38s",,22m 38s: wenyi090326-2.stratalog.logdata.json[385] _id=6a9b1daa485cab4c953fbc6e ts=2026-09-04T19:36:10.5700000Z -> wenyi090326-2.stratalog.logdata.json[358] _id=6a9b22f8485cab4c953fc22c ts=2026-09-04T19:58:48.7310000Z,,
INFO,Info,frequency,PuzzlePieceVisibleEvent,,unusually long gaps between records,"4 gap(s), longest 27m 49s",,27m 49s: wenyi090326-2.stratalog.logdata.json[4046] _id=6a9b0b9b485cab4c953f9d70 ts=2026-09-04T18:19:05.8390000Z -> wenyi090326-2.stratalog.logdata.json[3007] _id=6a9b121f485cab4c953fa7e6 ts=2026-09-04T18:46:54.8390000Z; 16m 20s: wenyi090326-2.stratalog.logdata.json[2877] _id=6a9b1247485cab4c953fa8ec ts=2026-09-04T18:47:35.0890000Z -> wenyi090326-2.stratalog.logdata.json[2325] _id=6a9b161b485cab4c953fad32 ts=2026-09-04T19:03:55.8270000Z; 13m 18s: wenyi090326-2.stratalog.logdata.json[1449] _id=6a9b187e485cab4c953fb41c ts=2026-09-04T19:14:05.8650000Z -> wenyi090326-2.stratalog.logdata.json[898] _id=6a9b1b9c485cab4c953fb85e ts=2026-09-04T19:27:24.2820000Z,,
