progress_point,name,log_support_status,confidence,activity_reached,deps_total,SUPPORTED_EXACTLY,SUPPORTED_WITH_SCHEMA_CHANGE,SUPPORTED_WITH_IDENTIFIER_CHANGE,PARTIALLY_SUPPORTED,NOT_OBSERVED_IN_PLAYTHROUGH,LIKELY_MISSING_FROM_CURRENT_LOGGING,AMBIGUOUS,NOT_REQUIRED,semantic_flags,rationale
U2P7,Watershed Argument (Support a claim with evidence),READY_FOR_GRADING_TEST,MEDIUM,True,17,2,0,0,0,15,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 3 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U3P1,Good morning cadet + Establishing a foothold (Identify the direction of water flow based on a map of the watershed),READY_FOR_GRADING_TEST,MEDIUM,True,3,3,0,0,0,0,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U3P2,Pollution solution (Predict the spread of dissolved materials through a watershed.),READY_FOR_GRADING_TEST,MEDIUM,True,5,2,0,0,0,3,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U3P3,Pollution argument (Construct an argument with reasoning that links a claim with evidence.),READY_FOR_GRADING_TEST,MEDIUM,True,21,4,0,0,0,17,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 2 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U3P4,Forsaken Facility (Predict the spread of dissolved materials),READY_FOR_GRADING_TEST,MEDIUM,True,11,3,0,0,0,8,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U3P5,Plant the superfruit seeds (Predict the spread of dissolved materials through a watershed),READY_FOR_GRADING_TEST,MEDIUM,True,6,3,0,0,0,3,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U4P1,Well Wishes,READY_FOR_GRADING_TEST,HIGH,True,3,3,0,0,0,0,0,0,0,,all window anchors and required evidence observed in current logs
U4P2,Infiltration Glyph + Alien Well Floors 1 & 2,READY_FOR_GRADING_TEST,MEDIUM,True,8,3,0,0,0,5,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U4P3,Alien Well Floor 3 & 4,READY_FOR_GRADING_TEST,HIGH,True,3,3,0,0,0,0,0,0,0,,all window anchors and required evidence observed in current logs
U4P4,Alien Well Floor 5 + You Know the Drill,READY_FOR_GRADING_TEST,HIGH,True,8,4,0,0,0,4,0,0,0,,all window anchors and required evidence observed in current logs
U4P5,Saving Cadet Anderson,READY_FOR_GRADING_TEST,MEDIUM,True,17,3,0,0,0,14,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U4P6,Tera’s Garden Boxes,READY_FOR_GRADING_TEST,MEDIUM,True,5,3,0,0,1,1,0,0,0,VALUE_DRIFT_CANDIDATE,all window anchors and required evidence observed in current logs
U5P1,Glyph evaporation + Floor 1-2,READY_FOR_GRADING_TEST,MEDIUM,True,7,4,0,0,0,3,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 2 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U5P2,Floor 3-4,READY_FOR_GRADING_TEST,MEDIUM,True,3,2,0,0,1,0,0,0,0,VALUE_DRIFT_CANDIDATE,all window anchors and required evidence observed in current logs
U5P3,Argumentation,READY_FOR_GRADING_TEST,MEDIUM,True,35,2,0,0,0,33,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
U5P4,Solar still,READY_FOR_GRADING_TEST,MEDIUM,True,14,3,0,0,0,11,0,0,0,DOC_PROD_REFERENCE_MISMATCH,all window anchors and required evidence observed in current logs | 1 doc-vs-production reference mismatch(es) noted — grading is testable but its alignment with rubric intent needs review
